s0,s1,s2,action,reward,s0_next,s1_next,s2_next,done
10,9,9,26,13.142136,10,9,9,0
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,0.000000,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
2,2,2,26,1.414214,2,2,2,0
0,0,0,26,-2.828427,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
2,2,2,26,1.414214,2,2,2,0
0,0,0,26,-2.828427,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
